#Wavelength 	Average	Max	Min
200	1.18336E-09	1.24403E-09	1.14691E-09
250	3.51123E-09	3.6402E-09	3.30788E-09
300	2.54141E-08	2.64894E-08	2.44633E-08
350	6.72239E-08	6.99367E-08	6.47634E-08
400	1.6395E-07	0.000000169	0.000000157
450	3.07782E-07	3.211E-07	2.99057E-07
500	3.40481E-07	3.49712E-07	3.29254E-07
550	3.93444E-07	4.09772E-07	3.81738E-07
600	3.9005E-07	0.000000399	0.000000377
650	3.66842E-07	3.75988E-07	3.58603E-07
700	3.72095E-07	3.81076E-07	3.63646E-07
750	3.5836E-07	3.73556E-07	3.45627E-07
800	2.71938E-07	2.78954E-07	2.64558E-07
850	1.44346E-07	1.49268E-07	1.39209E-07
900	6.80615E-07	6.96567E-07	6.6964E-07
950	8.89408E-07	8.99482E-07	8.79385E-07
1000	2.69848E-07	2.73242E-07	2.6748E-07
